bhk,area_sqft,locality,furnishing,status,price_rupees,price_per_sqft
2,1287.0,New Maninagar,Furnished,Ready To Move,4500000.0,3496.5
1,675.0,Gota,Semi-Furnished,Ready To Move,3000000.0,4444.44
2,810.0,Chandkheda,Furnished,Ready To Move,4200000.0,5185.19
2,600.0,Jagatpur,Furnished,Ready To Move,4700000.0,7833.33
2,1260.0,Sg Highway,Semi-Furnished,Ready To Move,4400000.0,3492.06
2,945.0,Chandkheda,Furnished,Ready To Move,4200000.0,4444.44
2,627.0,Sardar Patel Ring,Semi-Furnished,Ready To Move,4500000.0,7177.03
2,765.0,Gota,Semi-Furnished,Ready To Move,5200000.0,6797.39
2,491.0,Vaishnodevi,Semi-Furnished,Ready To Move,4600000.0,9368.64
2,927.0,Vatva,Furnished,Ready To Move,2480000.0,2675.3
1,765.0,Ranip,Semi-Furnished,Ready To Move,3600000.0,4705.88
2,540.0,Vaishnodevi,Semi-Furnished,Ready To Move,4500000.0,8333.33
2,675.0,Ranip,Semi-Furnished,Ready To Move,4200000.0,6222.22
2,881.0,Satellite,Semi-Furnished,Ready To Move,4400000.0,4994.32
2,1044.0,Vatva,Unfurnished,Under Construction,2600000.0,2490.42
1,600.0,Sg Highway,Furnished,Ready To Move,3500000.0,5833.33
2,1200.0,Chandkheda,Semi-Furnished,Ready To Move,4000000.0,3333.33
2,864.0,Ghatlodiya,Furnished,Ready To Move,4500000.0,5208.33
1,792.0,Chandkheda,Furnished,Ready To Move,3100000.0,3914.14
2,1085.0,Shela,Furnished,Ready To Move,4500000.0,4147.47
1,665.0,Motera,Semi-Furnished,Ready To Move,3200000.0,4812.03
2,710.0,Bopal,Furnished,Under Construction,5000000.0,7042.25
2,900.0,Chandkheda,Furnished,Ready To Move,4800000.0,5333.33
2,900.0,Satellite,Semi-Furnished,Ready To Move,5000000.0,5555.56
2,1062.0,Ghodasar,Furnished,Ready To Move,5000000.0,4708.1
2,550.0,Sg Highway,Furnished,Ready To Move,5000000.0,9090.91
2,680.0,Shela,Furnished,Under Construction,5000000.0,7352.94
2,999.0,Bopal,Semi-Furnished,Ready To Move,4500000.0,4504.5
1,560.0,Shela,Semi-Furnished,Ready To Move,3500000.0,6250.0
1,410.0,Gota,Furnished,Ready To Move,2900000.0,7073.17
1,420.0,Amraiwadi,Furnished,Ready To Move,2500000.0,5952.38
2,770.0,Sg Highway,Furnished,Ready To Move,5000000.0,6493.51
2,810.0,Ranip,Furnished,Ready To Move,4300000.0,5308.64
2,684.0,Naroda,Furnished,Ready To Move,4000000.0,5847.95
1,631.0,Maninagar,Furnished,Ready To Move,3000000.0,4754.36
2,1098.0,Vastral,Furnished,Ready To Move,4500000.0,4098.36
2,736.0,Sg Highway,Furnished,Ready To Move,4200000.0,5706.52
3,1140.0,Khokhra,Furnished,Ready To Move,4800000.0,4210.53
2,909.0,Narolgam,Furnished,Ready To Move,2600000.0,2860.29
2,990.0,Naroda,Semi-Furnished,Ready To Move,2500000.0,2525.25
2,623.0,Vastral,Furnished,Ready To Move,4000000.0,6420.55
